INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_ID,TABLE_NO,TABLE_JAPAN_NAME,TABLE_ENGLISH_NAME,TIME_STOP_DELETE,HAS_PARENT_TBL_FLG,PARENT_TBL_NAME,PARENT_TBL_JP_NAME,FIELD_ACQ_DATE_TIME,FIELD_ACQ_END_DATE,FIELD_ACQ_EMPLOYEE_ID,FIELD_ACQ_START_DATE,FIELD_ACQ_CID,FIELD_PARENT_1,FIELD_PARENT_2,FIELD_PARENT_3,FIELD_PARENT_4,FIELD_PARENT_5,FIELD_PARENT_6,FIELD_PARENT_7,FIELD_PARENT_8,FIELD_PARENT_9,FIELD_PARENT_10,FIELD_CHILD_1,FIELD_CHILD_2,FIELD_CHILD_3,FIELD_CHILD_4,FIELD_CHILD_5,FIELD_CHILD_6,FIELD_CHILD_7,FIELD_CHILD_8,FIELD_CHILD_9,FIELD_CHILD_10,CLS_KEY_QUERY_1,CLS_KEY_QUERY_2,CLS_KEY_QUERY_3,CLS_KEY_QUERY_4,CLS_KEY_QUERY_5,CLS_KEY_QUERY_6,CLS_KEY_QUERY_7,CLS_KEY_QUERY_8,CLS_KEY_QUERY_9,CLS_KEY_QUERY_10,DEFAULT_COND_KEY_QUERY,FIELD_KEY_QUERY_1,FIELD_KEY_QUERY_2,FIELD_KEY_QUERY_3,FIELD_KEY_QUERY_4,FIELD_KEY_QUERY_5,FIELD_KEY_QUERY_6,FIELD_KEY_QUERY_7,FIELD_KEY_QUERY_8,FIELD_KEY_QUERY_9,FIELD_KEY_QUERY_10,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,FIELD_DATE_11,FIELD_DATE_12,FIELD_DATE_13,FIELD_DATE_14,FIELD_DATE_15,FIELD_DATE_16,FIELD_DATE_17,FIELD_DATE_18,FIELD_DATE_19,FIELD_DATE_20,FILED_KEY_UPDATE_1,FILED_KEY_UPDATE_2,FILED_KEY_UPDATE_3,FILED_KEY_UPDATE_4,FILED_KEY_UPDATE_5,FILED_KEY_UPDATE_6,FILED_KEY_UPDATE_7,FILED_KEY_UPDATE_8,FILED_KEY_UPDATE_9,FILED_KEY_UPDATE_10,FILED_KEY_UPDATE_11,FILED_KEY_UPDATE_12,FILED_KEY_UPDATE_13,FILED_KEY_UPDATE_14,FILED_KEY_UPDATE_15,FILED_KEY_UPDATE_16,FILED_KEY_UPDATE_17,FILED_KEY_UPDATE_18,FILED_KEY_UPDATE_19,FILED_KEY_UPDATE_20,HISTORY_CLS,SYSTEM_TYPE
,,,,,,,,0,"00503",12,"出退勤（日別実績の出退勤の子テーブル）","KRCDT_DAY_TS_ATD","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","WORK_NO","YMD","TIME_LEAVING_TYPE",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",13,"日別実績の休憩時間帯","KRCDT_DAY_TS_BREAKTIME","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","BREAK_TYPE","BREAK_FRAME_NO","YMD",,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",14,"日別実績の外出時間帯","KRCDT_DAY_TS_GOOUT","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","OUTING_FRAME_NO","YMD",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",15,"日別実績の短時間勤務時間帯","KRCDT_DAY_TS_SHORTTIME","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","SHORT_WORK_TIME_FRAME_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",16,"日別実績のPCログオン情報","KRCDT_DAY_TS_LOGON","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","PC_LOG_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",17,"日別実績の入退門","KRCDT_DAY_TS_GATE","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","AL_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",18,"日別実績の勤怠時間","KRCDT_DAY_TIME_ATD","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",19,"日別実績の遅刻時間","KRCDT_DAY_LATETIME","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","WORK_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",20,"日別実績の早退時間","KRCDT_DAY_TIME_LEAVEEARLY","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","WORK_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",21,"日別実績の外出時間","KRCDT_DAY_TIME_GOOUT","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","OUTING_REASON",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",22,"日別実績の短時間勤務時間","KRCDT_DAY_SHORTTIME","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","CHILD_CARE_ATR",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",23,"日別実績の割増時間","KRCDT_DAY_TIME_PREMIUM","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",24,"日別実績の任意項目","KRCDT_DAY_TIME_ANYITEM","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",25,"日別実績の編集状態","KRCDT_DAY_EDIT_STATE","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","ATTENDANCE_ITEM_ID",,,,,,,,,,,,,,,,,,0,1
