INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,M_ATD_ITEM_ID,M_ATD_ITEM_NAME,DISP_NO,IS_ALLOW_CHANGE,LINE_BREAK_POS_NAME,M_ATD_ITEM_ATR,PRIMITIVE_VALUE,TWO_MONTHLY_DISPLAY,DISPLAY_NAME
,,,,,,,,0,"000000000000","000000000000-0000",983,"実特別休暇残日数7",933,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",984,"実特別休暇残日数付与後7",934,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",987,"特別休暇使用日数8",940,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",988,"特別休暇使用日数付与後8",941,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",992,"特別休暇残日数8",942,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",993,"特別休暇残日数付与後8",943,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",996,"特別休暇残未消化日数8",944,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",998,"特別休暇付与日数8",945,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",999,"実特別休暇使用日数8",952,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1000,"実特別休暇使用日数付与後8",953,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1004,"実特別休暇残日数8",954,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1005,"実特別休暇残日数付与後8",955,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1008,"特別休暇使用日数9",961,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1009,"特別休暇使用日数付与後9",962,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1013,"特別休暇残日数9",963,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1014,"特別休暇残日数付与後9",964,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1017,"特別休暇残未消化日数9",965,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1019,"特別休暇付与日数9",966,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1020,"実特別休暇使用日数9",973,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1021,"実特別休暇使用日数付与後9",974,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1025,"実特別休暇残日数9",975,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1026,"実特別休暇残日数付与後9",976,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1029,"特別休暇使用日数10",982,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1030,"特別休暇使用日数付与後10",983,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1034,"特別休暇残日数10",984,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1035,"特別休暇残日数付与後10",985,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1038,"特別休暇残未消化日数10",986,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1040,"特別休暇付与日数10",987,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1041,"実特別休暇使用日数10",994,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1042,"実特別休暇使用日数付与後10",995,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1046,"実特別休暇残日数10",996,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1047,"実特別休暇残日数付与後10",997,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1050,"特別休暇使用日数11",1003,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1051,"特別休暇使用日数付与後11",1004,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1055,"特別休暇残日数11",1005,1,0,3,41,2,"{0}残日数"
