INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,SUP_NO,MAN_HR_ITEM_ID,CID,ATTENDANCE_ITEM_ID,CONTRACT_CD
,,,,,,,,0,15,6,"000000000000-0000",1066,"000000000000"
,,,,,,,,0,15,7,"000000000000-0000",1067,"000000000000"
,,,,,,,,0,15,8,"000000000000-0000",1068,"000000000000"
,,,,,,,,0,15,10,"000000000000-0000",2531,"000000000000"
,,,,,,,,0,15,11,"000000000000-0000",2532,"000000000000"
,,,,,,,,0,15,12,"000000000000-0000",2533,"000000000000"
,,,,,,,,0,15,13,"000000000000-0000",2534,"000000000000"
,,,,,,,,0,15,14,"000000000000-0000",2535,"000000000000"
,,,,,,,,0,15,15,"000000000000-0000",2536,"000000000000"
,,,,,,,,0,15,16,"000000000000-0000",2537,"000000000000"
,,,,,,,,0,15,17,"000000000000-0000",2538,"000000000000"
,,,,,,,,0,15,18,"000000000000-0000",2539,"000000000000"
,,,,,,,,0,15,19,"000000000000-0000",2540,"000000000000"
,,,,,,,,0,15,20,"000000000000-0000",2541,"000000000000"
,,,,,,,,0,15,21,"000000000000-0000",2542,"000000000000"
,,,,,,,,0,15,22,"000000000000-0000",2543,"000000000000"
,,,,,,,,0,15,23,"000000000000-0000",2544,"000000000000"
