INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCEITEM_ID,SCREEN_USE_ATR,ATTENDANCEITEM_TYPE
,,,,,,,,0,"00000000","000000000000-0000",94,20,2
,,,,,,,,0,"00000000","000000000000-0000",95,16,2
,,,,,,,,0,"00000000","000000000000-0000",95,20,2
,,,,,,,,0,"00000000","000000000000-0000",96,16,2
,,,,,,,,0,"00000000","000000000000-0000",96,20,2
,,,,,,,,0,"00000000","000000000000-0000",97,16,2
,,,,,,,,0,"00000000","000000000000-0000",97,20,2
,,,,,,,,0,"00000000","000000000000-0000",98,16,2
,,,,,,,,0,"00000000","000000000000-0000",98,20,2
,,,,,,,,0,"00000000","000000000000-0000",99,16,2
,,,,,,,,0,"00000000","000000000000-0000",99,20,2
,,,,,,,,0,"00000000","000000000000-0000",110,2,2
,,,,,,,,0,"00000000","000000000000-0000",110,16,2
,,,,,,,,0,"00000000","000000000000-0000",110,20,2
,,,,,,,,0,"00000000","000000000000-0000",111,2,2
,,,,,,,,0,"00000000","000000000000-0000",111,16,2
,,,,,,,,0,"00000000","000000000000-0000",111,20,2
,,,,,,,,0,"00000000","000000000000-0000",112,2,2
,,,,,,,,0,"00000000","000000000000-0000",112,16,2
,,,,,,,,0,"00000000","000000000000-0000",112,20,2
,,,,,,,,0,"00000000","000000000000-0000",113,2,2
,,,,,,,,0,"00000000","000000000000-0000",113,16,2
,,,,,,,,0,"00000000","000000000000-0000",113,20,2
,,,,,,,,0,"00000000","000000000000-0000",114,2,2
,,,,,,,,0,"00000000","000000000000-0000",114,16,2
,,,,,,,,0,"00000000","000000000000-0000",114,20,2
,,,,,,,,0,"00000000","000000000000-0000",115,2,2
,,,,,,,,0,"00000000","000000000000-0000",115,16,2
,,,,,,,,0,"00000000","000000000000-0000",115,20,2
,,,,,,,,0,"00000000","000000000000-0000",116,2,2
,,,,,,,,0,"00000000","000000000000-0000",116,16,2
,,,,,,,,0,"00000000","000000000000-0000",116,20,2
,,,,,,,,0,"00000000","000000000000-0000",117,2,2
,,,,,,,,0,"00000000","000000000000-0000",117,16,2
,,,,,,,,0,"00000000","000000000000-0000",117,20,2
,,,,,,,,0,"00000000","000000000000-0000",118,2,2
,,,,,,,,0,"00000000","000000000000-0000",118,16,2
,,,,,,,,0,"00000000","000000000000-0000",118,20,2
,,,,,,,,0,"00000000","000000000000-0000",119,2,2
,,,,,,,,0,"00000000","000000000000-0000",119,16,2
,,,,,,,,0,"00000000","000000000000-0000",119,20,2
,,,,,,,,0,"00000000","000000000000-0000",120,16,2
,,,,,,,,0,"00000000","000000000000-0000",120,20,2
,,,,,,,,0,"00000000","000000000000-0000",121,16,2
,,,,,,,,0,"00000000","000000000000-0000",121,20,2
,,,,,,,,0,"00000000","000000000000-0000",122,16,2
,,,,,,,,0,"00000000","000000000000-0000",122,20,2
,,,,,,,,0,"00000000","000000000000-0000",123,16,2
,,,,,,,,0,"00000000","000000000000-0000",123,20,2
,,,,,,,,0,"00000000","000000000000-0000",124,16,2
,,,,,,,,0,"00000000","000000000000-0000",124,20,2
,,,,,,,,0,"00000000","000000000000-0000",125,16,2
,,,,,,,,0,"00000000","000000000000-0000",125,20,2
,,,,,,,,0,"00000000","000000000000-0000",126,16,2
,,,,,,,,0,"00000000","000000000000-0000",126,20,2
,,,,,,,,0,"00000000","000000000000-0000",127,16,2
,,,,,,,,0,"00000000","000000000000-0000",127,20,2
,,,,,,,,0,"00000000","000000000000-0000",128,16,2
,,,,,,,,0,"00000000","000000000000-0000",128,20,2
,,,,,,,,0,"00000000","000000000000-0000",129,16,2
,,,,,,,,0,"00000000","000000000000-0000",129,20,2
,,,,,,,,0,"00000000","000000000000-0000",130,16,2
,,,,,,,,0,"00000000","000000000000-0000",130,20,2
,,,,,,,,0,"00000000","000000000000-0000",131,16,2
,,,,,,,,0,"00000000","000000000000-0000",131,20,2
,,,,,,,,0,"00000000","000000000000-0000",132,16,2
,,,,,,,,0,"00000000","000000000000-0000",132,20,2
,,,,,,,,0,"00000000","000000000000-0000",133,16,2
,,,,,,,,0,"00000000","000000000000-0000",133,20,2
,,,,,,,,0,"00000000","000000000000-0000",134,16,2
,,,,,,,,0,"00000000","000000000000-0000",134,20,2
,,,,,,,,0,"00000000","000000000000-0000",135,16,2
,,,,,,,,0,"00000000","000000000000-0000",135,20,2
,,,,,,,,0,"00000000","000000000000-0000",136,16,2
,,,,,,,,0,"00000000","000000000000-0000",136,20,2
,,,,,,,,0,"00000000","000000000000-0000",137,16,2
,,,,,,,,0,"00000000","000000000000-0000",137,20,2
,,,,,,,,0,"00000000","000000000000-0000",138,16,2
,,,,,,,,0,"00000000","000000000000-0000",138,20,2
,,,,,,,,0,"00000000","000000000000-0000",139,16,2
,,,,,,,,0,"00000000","000000000000-0000",139,20,2
,,,,,,,,0,"00000000","000000000000-0000",140,16,2
,,,,,,,,0,"00000000","000000000000-0000",140,20,2
,,,,,,,,0,"00000000","000000000000-0000",141,16,2
,,,,,,,,0,"00000000","000000000000-0000",141,20,2
,,,,,,,,0,"00000000","000000000000-0000",142,16,2
,,,,,,,,0,"00000000","000000000000-0000",142,20,2
,,,,,,,,0,"00000000","000000000000-0000",143,2,2
,,,,,,,,0,"00000000","000000000000-0000",143,16,2
,,,,,,,,0,"00000000","000000000000-0000",143,20,2
,,,,,,,,0,"00000000","000000000000-0000",144,2,2
,,,,,,,,0,"00000000","000000000000-0000",144,16,2
,,,,,,,,0,"00000000","000000000000-0000",144,20,2
,,,,,,,,0,"00000000","000000000000-0000",145,2,2
,,,,,,,,0,"00000000","000000000000-0000",145,16,2
