ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,attendance_item_id,order_sorted
,,,,,,,,0,"000000000000","000000000000-0000",553,635
,,,,,,,,0,"000000000000","000000000000-0000",554,636
,,,,,,,,0,"000000000000","000000000000-0000",555,306
,,,,,,,,0,"000000000000","000000000000-0000",556,304
,,,,,,,,0,"000000000000","000000000000-0000",557,305
,,,,,,,,0,"000000000000","000000000000-0000",558,303
,,,,,,,,0,"000000000000","000000000000-0000",559,196
,,,,,,,,0,"000000000000","000000000000-0000",560,197
,,,,,,,,0,"000000000000","000000000000-0000",561,307
,,,,,,,,0,"000000000000","000000000000-0000",562,308
,,,,,,,,0,"000000000000","000000000000-0000",563,309
,,,,,,,,0,"000000000000","000000000000-0000",564,310
,,,,,,,,0,"000000000000","000000000000-0000",565,311
,,,,,,,,0,"000000000000","000000000000-0000",566,312
,,,,,,,,0,"000000000000","000000000000-0000",567,313
,,,,,,,,0,"000000000000","000000000000-0000",568,314
,,,,,,,,0,"000000000000","000000000000-0000",569,315
,,,,,,,,0,"000000000000","000000000000-0000",570,316
,,,,,,,,0,"000000000000","000000000000-0000",571,317
,,,,,,,,0,"000000000000","000000000000-0000",572,318
,,,,,,,,0,"000000000000","000000000000-0000",573,319
,,,,,,,,0,"000000000000","000000000000-0000",576,445
,,,,,,,,0,"000000000000","000000000000-0000",579,198
,,,,,,,,0,"000000000000","000000000000-0000",580,367
,,,,,,,,0,"000000000000","000000000000-0000",581,368
,,,,,,,,0,"000000000000","000000000000-0000",582,369
,,,,,,,,0,"000000000000","000000000000-0000",583,370
,,,,,,,,0,"000000000000","000000000000-0000",584,371
,,,,,,,,0,"000000000000","000000000000-0000",585,372
,,,,,,,,0,"000000000000","000000000000-0000",586,373
,,,,,,,,0,"000000000000","000000000000-0000",587,374
,,,,,,,,0,"000000000000","000000000000-0000",588,375
,,,,,,,,0,"000000000000","000000000000-0000",589,376
,,,,,,,,0,"000000000000","000000000000-0000",590,377
,,,,,,,,0,"000000000000","000000000000-0000",591,378
,,,,,,,,0,"000000000000","000000000000-0000",592,379
,,,,,,,,0,"000000000000","000000000000-0000",593,380
,,,,,,,,0,"000000000000","000000000000-0000",594,381
,,,,,,,,0,"000000000000","000000000000-0000",595,382
,,,,,,,,0,"000000000000","000000000000-0000",597,384
,,,,,,,,0,"000000000000","000000000000-0000",598,389
,,,,,,,,0,"000000000000","000000000000-0000",599,390
,,,,,,,,0,"000000000000","000000000000-0000",600,391
,,,,,,,,0,"000000000000","000000000000-0000",601,392
,,,,,,,,0,"000000000000","000000000000-0000",603,394
,,,,,,,,0,"000000000000","000000000000-0000",604,399
,,,,,,,,0,"000000000000","000000000000-0000",605,400
,,,,,,,,0,"000000000000","000000000000-0000",606,401
,,,,,,,,0,"000000000000","000000000000-0000",607,402
,,,,,,,,0,"000000000000","000000000000-0000",609,404
,,,,,,,,0,"000000000000","000000000000-0000",610,409
,,,,,,,,0,"000000000000","000000000000-0000",611,410
,,,,,,,,0,"000000000000","000000000000-0000",612,411
,,,,,,,,0,"000000000000","000000000000-0000",613,412
,,,,,,,,0,"000000000000","000000000000-0000",615,414
,,,,,,,,0,"000000000000","000000000000-0000",616,640
,,,,,,,,0,"000000000000","000000000000-0000",617,641
,,,,,,,,0,"000000000000","000000000000-0000",618,642
,,,,,,,,0,"000000000000","000000000000-0000",619,643
,,,,,,,,0,"000000000000","000000000000-0000",620,644
,,,,,,,,0,"000000000000","000000000000-0000",621,645
,,,,,,,,0,"000000000000","000000000000-0000",622,646
,,,,,,,,0,"000000000000","000000000000-0000",623,772
