INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SCHEDULE_ID,ATD_ID
,,,,,,,,0,"000000000000","000000000000-0000","1227",704
,,,,,,,,0,"000000000000","000000000000-0000","1228",705
,,,,,,,,0,"000000000000","000000000000-0000","1229",706
,,,,,,,,0,"000000000000","000000000000-0000","1230",707
,,,,,,,,0,"000000000000","000000000000-0000","1231",708
,,,,,,,,0,"000000000000","000000000000-0000","1232",709
,,,,,,,,0,"000000000000","000000000000-0000","1233",710
,,,,,,,,0,"000000000000","000000000000-0000","1234",711
,,,,,,,,0,"000000000000","000000000000-0000","1235",712
,,,,,,,,0,"000000000000","000000000000-0000","1236",713
,,,,,,,,0,"000000000000","000000000000-0000","1237",714
,,,,,,,,0,"000000000000","000000000000-0000","1238",715
,,,,,,,,0,"000000000000","000000000000-0000","1239",716
,,,,,,,,0,"000000000000","000000000000-0000","1240",717
,,,,,,,,0,"000000000000","000000000000-0000","1241",718
,,,,,,,,0,"000000000000","000000000000-0000","1242",719
,,,,,,,,0,"000000000000","000000000000-0000","1243",720
,,,,,,,,0,"000000000000","000000000000-0000","1244",721
,,,,,,,,0,"000000000000","000000000000-0000","1245",722
,,,,,,,,0,"000000000000","000000000000-0000","1246",723
,,,,,,,,0,"000000000000","000000000000-0000","1247",724
,,,,,,,,0,"000000000000","000000000000-0000","1248",725
,,,,,,,,0,"000000000000","000000000000-0000","1249",726
,,,,,,,,0,"000000000000","000000000000-0000","1250",727
,,,,,,,,0,"000000000000","000000000000-0000","1251",728
,,,,,,,,0,"000000000000","000000000000-0000","1252",729
,,,,,,,,0,"000000000000","000000000000-0000","1253",730
,,,,,,,,0,"000000000000","000000000000-0000","1254",731
,,,,,,,,0,"000000000000","000000000000-0000","1255",732
,,,,,,,,0,"000000000000","000000000000-0000","1256",733
,,,,,,,,0,"000000000000","000000000000-0000","1257",734
,,,,,,,,0,"000000000000","000000000000-0000","1258",735
,,,,,,,,0,"000000000000","000000000000-0000","1259",736
,,,,,,,,0,"000000000000","000000000000-0000","1260",737
,,,,,,,,0,"000000000000","000000000000-0000","1261",738
