ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,attendance_item_id,disp_order
,,,,,,,,0,"000000000000","000000000000-0000",51,29
,,,,,,,,0,"000000000000","000000000000-0000",52,30
,,,,,,,,0,"000000000000","000000000000-0000",53,31
,,,,,,,,0,"000000000000","000000000000-0000",54,32
,,,,,,,,0,"000000000000","000000000000-0000",55,33
,,,,,,,,0,"000000000000","000000000000-0000",56,34
,,,,,,,,0,"000000000000","000000000000-0000",57,77
,,,,,,,,0,"000000000000","000000000000-0000",58,78
,,,,,,,,0,"000000000000","000000000000-0000",59,79
,,,,,,,,0,"000000000000","000000000000-0000",60,80
,,,,,,,,0,"000000000000","000000000000-0000",61,81
,,,,,,,,0,"000000000000","000000000000-0000",62,82
,,,,,,,,0,"000000000000","000000000000-0000",63,83
,,,,,,,,0,"000000000000","000000000000-0000",64,84
,,,,,,,,0,"000000000000","000000000000-0000",65,85
,,,,,,,,0,"000000000000","000000000000-0000",66,86
,,,,,,,,0,"000000000000","000000000000-0000",67,87
,,,,,,,,0,"000000000000","000000000000-0000",90,57
,,,,,,,,0,"000000000000","000000000000-0000",91,58
,,,,,,,,0,"000000000000","000000000000-0000",92,59
,,,,,,,,0,"000000000000","000000000000-0000",93,60
,,,,,,,,0,"000000000000","000000000000-0000",94,61
,,,,,,,,0,"000000000000","000000000000-0000",95,62
,,,,,,,,0,"000000000000","000000000000-0000",96,63
,,,,,,,,0,"000000000000","000000000000-0000",97,64
,,,,,,,,0,"000000000000","000000000000-0000",98,65
,,,,,,,,0,"000000000000","000000000000-0000",99,66
,,,,,,,,0,"000000000000","000000000000-0000",110,88
,,,,,,,,0,"000000000000","000000000000-0000",111,89
,,,,,,,,0,"000000000000","000000000000-0000",112,90
,,,,,,,,0,"000000000000","000000000000-0000",113,91
,,,,,,,,0,"000000000000","000000000000-0000",114,92
,,,,,,,,0,"000000000000","000000000000-0000",115,93
,,,,,,,,0,"000000000000","000000000000-0000",116,94
,,,,,,,,0,"000000000000","000000000000-0000",117,95
,,,,,,,,0,"000000000000","000000000000-0000",118,96
,,,,,,,,0,"000000000000","000000000000-0000",119,97
,,,,,,,,0,"000000000000","000000000000-0000",120,98
,,,,,,,,0,"000000000000","000000000000-0000",121,99
,,,,,,,,0,"000000000000","000000000000-0000",122,100
,,,,,,,,0,"000000000000","000000000000-0000",123,101
,,,,,,,,0,"000000000000","000000000000-0000",124,102
,,,,,,,,0,"000000000000","000000000000-0000",125,103
,,,,,,,,0,"000000000000","000000000000-0000",126,104
,,,,,,,,0,"000000000000","000000000000-0000",127,105
,,,,,,,,0,"000000000000","000000000000-0000",128,106
,,,,,,,,0,"000000000000","000000000000-0000",129,107
,,,,,,,,0,"000000000000","000000000000-0000",130,108
,,,,,,,,0,"000000000000","000000000000-0000",131,109
,,,,,,,,0,"000000000000","000000000000-0000",132,152
,,,,,,,,0,"000000000000","000000000000-0000",133,153
,,,,,,,,0,"000000000000","000000000000-0000",134,154
,,,,,,,,0,"000000000000","000000000000-0000",135,155
,,,,,,,,0,"000000000000","000000000000-0000",136,156
,,,,,,,,0,"000000000000","000000000000-0000",137,157
,,,,,,,,0,"000000000000","000000000000-0000",138,158
,,,,,,,,0,"000000000000","000000000000-0000",139,159
,,,,,,,,0,"000000000000","000000000000-0000",140,160
,,,,,,,,0,"000000000000","000000000000-0000",141,161
,,,,,,,,0,"000000000000","000000000000-0000",142,162
,,,,,,,,0,"000000000000","000000000000-0000",143,110
,,,,,,,,0,"000000000000","000000000000-0000",144,111
,,,,,,,,0,"000000000000","000000000000-0000",145,112
,,,,,,,,0,"000000000000","000000000000-0000",146,113
,,,,,,,,0,"000000000000","000000000000-0000",147,114
,,,,,,,,0,"000000000000","000000000000-0000",148,115
,,,,,,,,0,"000000000000","000000000000-0000",149,116
,,,,,,,,0,"000000000000","000000000000-0000",150,117
,,,,,,,,0,"000000000000","000000000000-0000",151,118
,,,,,,,,0,"000000000000","000000000000-0000",152,119
,,,,,,,,0,"000000000000","000000000000-0000",153,120
,,,,,,,,0,"000000000000","000000000000-0000",154,121
,,,,,,,,0,"000000000000","000000000000-0000",155,122
,,,,,,,,0,"000000000000","000000000000-0000",156,123
,,,,,,,,0,"000000000000","000000000000-0000",157,124
,,,,,,,,0,"000000000000","000000000000-0000",158,125
,,,,,,,,0,"000000000000","000000000000-0000",159,126
,,,,,,,,0,"000000000000","000000000000-0000",160,127
,,,,,,,,0,"000000000000","000000000000-0000",161,128
,,,,,,,,0,"000000000000","000000000000-0000",162,129
,,,,,,,,0,"000000000000","000000000000-0000",163,130
,,,,,,,,0,"000000000000","000000000000-0000",164,131
,,,,,,,,0,"000000000000","000000000000-0000",165,132
,,,,,,,,0,"000000000000","000000000000-0000",166,133
,,,,,,,,0,"000000000000","000000000000-0000",167,134
,,,,,,,,0,"000000000000","000000000000-0000",168,135
,,,,,,,,0,"000000000000","000000000000-0000",169,136
,,,,,,,,0,"000000000000","000000000000-0000",170,137
,,,,,,,,0,"000000000000","000000000000-0000",171,138
,,,,,,,,0,"000000000000","000000000000-0000",172,139
,,,,,,,,0,"000000000000","000000000000-0000",173,140
,,,,,,,,0,"000000000000","000000000000-0000",174,141
,,,,,,,,0,"000000000000","000000000000-0000",175,142
,,,,,,,,0,"000000000000","000000000000-0000",176,143
,,,,,,,,0,"000000000000","000000000000-0000",177,144
,,,,,,,,0,"000000000000","000000000000-0000",178,145
,,,,,,,,0,"000000000000","000000000000-0000",179,146
,,,,,,,,0,"000000000000","000000000000-0000",180,147
,,,,,,,,0,"000000000000","000000000000-0000",181,148
,,,,,,,,0,"000000000000","000000000000-0000",182,149
,,,,,,,,0,"000000000000","000000000000-0000",183,150
,,,,,,,,0,"000000000000","000000000000-0000",184,151
,,,,,,,,0,"000000000000","000000000000-0000",185,734
,,,,,,,,0,"000000000000","000000000000-0000",186,735
,,,,,,,,0,"000000000000","000000000000-0000",187,736
,,,,,,,,0,"000000000000","000000000000-0000",188,737
,,,,,,,,0,"000000000000","000000000000-0000",197,1406
,,,,,,,,0,"000000000000","000000000000-0000",198,1407
,,,,,,,,0,"000000000000","000000000000-0000",199,1408
,,,,,,,,0,"000000000000","000000000000-0000",200,1409
,,,,,,,,0,"000000000000","000000000000-0000",208,294
,,,,,,,,0,"000000000000","000000000000-0000",209,295
,,,,,,,,0,"000000000000","000000000000-0000",210,296
,,,,,,,,0,"000000000000","000000000000-0000",213,297
,,,,,,,,0,"000000000000","000000000000-0000",214,298
,,,,,,,,0,"000000000000","000000000000-0000",215,299
,,,,,,,,0,"000000000000","000000000000-0000",216,300
,,,,,,,,0,"000000000000","000000000000-0000",239,319
,,,,,,,,0,"000000000000","000000000000-0000",240,320
,,,,,,,,0,"000000000000","000000000000-0000",241,321
,,,,,,,,0,"000000000000","000000000000-0000",242,322
,,,,,,,,0,"000000000000","000000000000-0000",243,323
,,,,,,,,0,"000000000000","000000000000-0000",244,324
,,,,,,,,0,"000000000000","000000000000-0000",245,325
,,,,,,,,0,"000000000000","000000000000-0000",246,326
,,,,,,,,0,"000000000000","000000000000-0000",247,327
,,,,,,,,0,"000000000000","000000000000-0000",248,328
,,,,,,,,0,"000000000000","000000000000-0000",249,329
,,,,,,,,0,"000000000000","000000000000-0000",250,330
,,,,,,,,0,"000000000000","000000000000-0000",251,331
,,,,,,,,0,"000000000000","000000000000-0000",252,332
,,,,,,,,0,"000000000000","000000000000-0000",253,333
,,,,,,,,0,"000000000000","000000000000-0000",254,334
,,,,,,,,0,"000000000000","000000000000-0000",255,335
,,,,,,,,0,"000000000000","000000000000-0000",256,336
,,,,,,,,0,"000000000000","000000000000-0000",257,337
,,,,,,,,0,"000000000000","000000000000-0000",258,338
,,,,,,,,0,"000000000000","000000000000-0000",259,339
,,,,,,,,0,"000000000000","000000000000-0000",260,340
,,,,,,,,0,"000000000000","000000000000-0000",261,341
