DOMAIN_ID,ITEM_NO,ITEM_NAME,ITEM_TYPE,REQUIRED,IS_PRIMARYKEY,CHECK_METHOD,FQN
108,5,"短時間1開始時刻",5,true,false,1,"nts.uk.shr.com.time.TimeWithDayAttr"
108,6,"短時間1終了時刻",5,true,false,1,"nts.uk.shr.com.time.TimeWithDayAttr"
108,7,"短時間2開始時刻",5,false,false,1,"nts.uk.shr.com.time.TimeWithDayAttr"
108,8,"短時間2終了時刻",5,false,false,1,"nts.uk.shr.com.time.TimeWithDayAttr"
109,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
109,2,"開始日",3,true,false,,""
109,3,"終了日",3,true,false,,""
109,4,"労働制",1,true,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.WorkingSystem"
109,5,"勤務時間の自動設定",1,true,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.NotUseAtr"
109,6,"加給時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.dailyattdcal.bonuspay.primitives.BonusPaySettingCode"
109,7,"時間給者区分",1,true,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.HourlyPaymentAtr"
109,8,"契約時間",4,true,false,1,"nts.uk.ctx.at.shared.dom.workingcondition.LaborContractTime"
109,9,"加算時間1日",4,false,false,1,"nts.uk.ctx.at.shared.dom.common.time.AttendanceTime"
109,10,"加算時間午前",4,false,false,1,"nts.uk.ctx.at.shared.dom.common.time.AttendanceTime"
109,11,"加算時間午後",4,false,false,1,"nts.uk.ctx.at.shared.dom.common.time.AttendanceTime"
109,12,"スケジュール管理設定",1,true,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.ManageAtr"
109,13,"スケジュール作成方法",1,false,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.WorkScheduleBasicCreMethod"
109,14,"営業日カレンダーの参照先",1,false,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.WorkScheduleMasterReferenceAtr"
109,15,"就業時間帯の参照先",1,false,false,2,"nts.uk.ctx.at.shared.dom.workingcondition.TimeZoneScheduledMasterAtr"
109,16,"月間パターンコード",0,false,false,1,"nts.uk.ctx.at.shared.dom.workingcondition.MonthlyPatternCode"
109,18,"平日時の勤務種類コード",0,true,false,1,"nts.uk.ctx.at.shared.dom.worktype.WorkTypeCode"
109,19,"平日時の就業時間帯コード",0,true,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,24,"休日時の勤務種類コード",0,true,false,1,"nts.uk.ctx.at.shared.dom.worktype.WorkTypeCode"
109,25,"休日出勤時の勤務種類コード",0,true,false,1,"nts.uk.ctx.at.shared.dom.worktype.WorkTypeCode"
109,26,"休日出勤時の就業時間帯コード",0,true,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,31,"法定内休出時の勤務種類コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktype.WorkTypeCode"
109,32,"法定外休出時の勤務種類コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktype.WorkTypeCode"
109,33,"祝日時の勤務種類コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktype.WorkTypeCode"
109,34,"月曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,39,"火曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,44,"水曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,49,"木曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,54,"金曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,59,"土曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
109,64,"日曜の就業時間帯コード",0,false,false,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
110,1,"社員コード",0,true,false,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
110,2,"カードNO",0,true,true,1,"nts.uk.ctx.at.record.dom.stamp.card.stampcard.StampNumber"
111,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
111,2,"導入前労働日数",1,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.basicinfo.WorkingDayBeforeIntro"
111,3,"年休付与基準日",3,true,false,,"nts.arc.time.GeneralDate"
111,4,"年休付与テーブル",0,true,false,1,"nts.uk.ctx.at.shared.dom.yearholidaygrant.YearHolidayCode"
112,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
112,2,"半日上限回数",1,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.maxdata.MaxTimes"
112,3,"半休使用回数",1,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.maxdata.UsedTimes"
112,4,"残回数",1,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.maxdata.RemainingTimes"
112,5,"時間年休上限時間",4,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.maxdata.MaxMinutes"
112,6,"時間年休使用時間",4,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.maxdata.UsedMinutes"
112,7,"残時間",4,false,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.annualleave.empinfo.maxdata.RemainingMinutes"
114,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
114,2,"年休付与日",3,false,true,,""
114,3,"年休期限日",3,true,false,,""
114,4,"年休期限切れ状態",1,true,false,2,"nts.uk.ctx.at.shared.dom.remainingnumber.base.LeaveExpirationStatus"
114,5,"年休付与日数使用状況",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantDayNumber"
114,6,"年休付与時間使用状況",4,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantTime"
114,7,"年休使用数使用状況",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedDayNumber"
114,8,"年休使用時間使用状況",4,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedTime"
114,9,"年休残数使用状況",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingDayNumber"
114,10,"年休残時間使用状況",4,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingTime"
115,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
115,2,"積立休暇付与日",3,false,true,,""
115,3,"積立休暇期限日",3,true,false,,""
115,4,"積立休暇期限切れ状態",1,true,false,2,"nts.uk.ctx.at.shared.dom.remainingnumber.base.LeaveExpirationStatus"
115,5,"積休付与日数使用状況",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantDayNumber"
115,6,"積休使用数使用状況",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedDayNumber"
115,7,"積休残数使用状況",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingDayNumber"
116,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
116,2,"特別休暇コード",1,false,true,1,"nts.uk.ctx.at.shared.dom.specialholiday.SpecialHolidayCode"
116,3,"特別休暇管理",1,true,false,2,"nts.uk.ctx.at.shared.dom.scherec.dailyattdcal.bonuspay.enums.UseAtr"
116,4,"特別休暇付与基準日",3,true,false,,"nts.arc.time.GeneralDate"
117,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
117,2,"特別休暇コード",1,false,true,1,"nts.uk.ctx.at.shared.dom.specialholiday.SpecialHolidayCode"
117,3,"特別休暇付与日",3,false,true,,"nts.arc.time.GeneralDate"
117,4,"特別休暇期限日",3,true,false,,"nts.arc.time.GeneralDate"
117,5,"特別休暇期限切れ状態",1,true,false,2,"nts.uk.ctx.at.shared.dom.remainingnumber.base.LeaveExpirationStatus"
117,6,"特別休暇使用状況（付与日数）",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantDayNumber"
117,7,"特別休暇使用状況（付与時間）",4,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantTime"
117,8,"特別休暇使用状況（使用日数）",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedDayNumber"
117,9,"特別休暇使用状況（使用時間）",4,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedTime"
117,10,"特別休暇使用状況（残日数）",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingDayNumber"
117,11,"特別休暇使用状況（残時間）",4,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingTime"
118,1,"社員コード",0,true,false,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
118,2,"振休日",3,false,false,,"nts.uk.ctx.at.shared.dom.remainingnumber.base.CompensatoryDayoffDate"
118,3,"振休日数",2,true,false,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataDaysAtr"
